name,role,category,context
The Musicians,Musician,entertainment,"Musicians to tackle US red tape

Musicians' groups are to tackle US visa regulations which are blamed for hindering British acts' chances of succeeding across the Atlantic.

A singer hoping to perform"
Music Managers,Musician,entertainment,"Musicians to tackle US red tape

Musicians' groups are to tackle US visa regulations which are blamed for hindering British acts' chances of succeeding across the Atlantic.

A singer hoping to perform"
James Seller,Musician,entertainment,"Musicians to tackle US red tape

Musicians' groups are to tackle US visa regulations which are blamed for hindering British acts' chances of succeeding across the Atlantic.

A singer hoping to perform"
Mr Seller,Musician,entertainment,"Musicians to tackle US red tape

Musicians' groups are to tackle US visa regulations which are blamed for hindering British acts' chances of succeeding across the Atlantic.

A singer hoping to perform"
Grammy Awards,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Beatles,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Rolling Stones,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
How To,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Dismantle An,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Atomic Bomb,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Joshua,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Drummer Larry,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Mullen Jr,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Paul Rees,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Mr Rees,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Paul Hewson,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Adam Clayton,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
David Evans,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Edge,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Dick Evans,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Feedback,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Hype,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Sunday Bloody,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
New Year,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Live Aid,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Streets Have,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
No Name,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Still Haven,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Found What,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Looking For,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
With Or,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Without You,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Achtung,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
White House,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
The Fly,Musician,entertainment,"U2's desire to be number one

U2, who have won three prestigious Grammy Awards for their hit Vertigo, are stubbornly clinging to their status as one of the biggest bands in the world.

The most popula"
Rocker Doherty,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Pete Doherty,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Brixton Academy,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Patrick Walden,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
On Monday,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
The Garage,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
On Tuesday,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Mick Jones,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Alan Wass,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Max Carlish,Musician,entertainment,"Rocker Doherty in on-stage fight

Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.

Babyshambles played for 5,000 fans at London's Brixton "
Lemony Snicket,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
North America,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Unfortunate Events,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Jim Carrey,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Billy Connelly,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Dennis Quaid,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Meryl Streep,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Leicester Square,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Daniel Handler,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
Count Olaf,Actor,entertainment,"Snicket tops US box office chart

The film adaptation of Lemony Snicket novels has topped the North America box office chart, displacing Ocean's 12.

A Series of Unfortunate Events, starring Jim Carre"
George Clooney,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Brad Pitt,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Julia Roberts,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
National Treasure,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Wesley Snipes,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
The Polar,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Tom Hanks,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Frank Sinatra,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Rat Pack,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Steven Soderbergh,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Matt Damon,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Andy Garcia,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Elliott Gould,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Catherine Zeta,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Dan Fellman,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Warner Bros,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
Los Angeles,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
New York,Actor,entertainment,"Ocean's Twelve raids box office

Ocean's Twelve, the crime caper sequel starring George Clooney, Brad Pitt and Julia Roberts, has gone straight to number one in the US box office chart.

It took $40.8"
The Passion,Actor,entertainment,"'Landmark movies' of 2004 hailed

US film professionals have declared Fahrenheit 9/11 and The Passion of the Christ as two of the most significant cultural milestones of 2004.

The American Film Insti"
The American,Actor,entertainment,"'Landmark movies' of 2004 hailed

US film professionals have declared Fahrenheit 9/11 and The Passion of the Christ as two of the most significant cultural milestones of 2004.

The American Film Insti"
